Purchasing Document,Material,Short Text,Storage location,Order Quantity,Net Price,Validity Period End,Purchasing Doc. Type,Material Group,Supplier/Supplying Plant,Net Order Value
4500379083,Unknown,SNTC-8X5XNBD Catalyst C1000 Switch -1yr,Unknown,1,23900,2022-12-31 00:00:00,ZCS,904,DIAM04     Diamond Infotech Pvt. Ltd.,23900
4500379511,Unknown,Extension of High end toilet,GS21,1,1301180,2024-10-31 00:00:00,ZCS,906,SERV02     SERVO INDIA,1301180
4500379528,Unknown,Dismantling and const.of comp.fdn+Toilet,GS21,1,1119816,2023-06-30 00:00:00,ZCS,906,SERV02     SERVO INDIA,1119816
4500397067,Z1500842,ACP Signage,Unknown,35,113,2022-08-31 00:00:00,ZRO,150,UNNA01     UNNATI ENTERPRISES,3955
4500419093,Unknown,Installation CHarges,Unknown,1,7500,2023-12-18 00:00:00,ZCS,904,TALB01     Talbros Technologies Pvt. Ltd.,7500
4500420665,VCRCLM1199,IFAU12/0.98MM>600MM CR COIL,Unknown,23,71038,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,1652983
4500420669,VCRCLM1162,EDDAU09/0.78MM>600MM CR COIL,VCR1,23,69213,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,1618199
4500420669,VCRCLM1199,IFAU12/0.98MM>600MM CR COIL,VCR1,89,71038,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,6328562
4500420669,VCRCLM1211,TATEIFAU58/0.980MM>600MM CR COIL,VCR1,6,69213,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,428013
4500420669,VCRCLM1108,TATEIFAU58/1.46MM>600MM CR COIL TML,VCR1,242,65155,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,15785101
4500420669,VCRCLM1095,DQAU14/0.98MM>600MM CR COIL TML,VCR1,46,67132,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,3142448
4500420669,VCRCLM1050,DQAU14/1.20MM>600MM CR COIL TML,VCR1,21,67132,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,1427897
4500420669,VCRCLM1092,DQAU14/1.46MM>600MM CR COIL TML,VCR1,22,67132,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,1537994
4500420669,VSTCLM4457,IS5986255/2.00MM>600MM HRPO COIL TML,VCR1,22,60373,2023-01-31 00:00:00,NB,343,TISC04     TATA STEEL LTD,1384051
4500420669,VCRCLM1199,IFAU12/0.98MM>600MM CR COIL,VCR1,1,71038,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,71038
4500420669,VCRCLM1108,TATEIFAU58/1.46MM>600MM CR COIL TML,VCR1,205,65155,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,13375669
4500420669,VCRCLM1050,DQAU14/1.20MM>600MM CR COIL TML,VCR1,244,63074,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,15421908
4500420669,VCRCLM1092,DQAU14/1.46MM>600MM CR COIL TML,VCR1,285,63074,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,18016772
4500420669,VCRCLM1211,TATEIFAU58/0.980MM>600MM CR COIL,VCR1,146,65155,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,9552179
4500420669,VCRCLM1206,DQAU14/1.22MM>600MM CR COIL,VCR1,44,63074,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,2793547
4500420669,VCRCLM1235,TATEIFAU58/0.78MM>600MM CR COIL,VCR1,178,65155,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,11650170
4500420669,VSTCLM4522,IS5986255/2.45MM>600MM HRPO COIL,VCR1,47,55618,2023-01-31 00:00:00,NB,343,TISC04     TATA STEEL LTD,2651588
4500420669,VSTCLM4437,IS5986235/2.45MM>600MM HRPO COIL TML,VCR1,48,56809,2023-01-31 00:00:00,NB,343,TISC04     TATA STEEL LTD,2751827
4500420669,VCRCLM1199,IFAU12/0.98MM>600MM CR COIL,VCR1,260,66980,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,17464432
4500420669,VCRCLM1142,AU14/0.98MM<=600MM CR COIL(RM) TML,VCR1,1,65097,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,65097
4500420669,VCRSHN0704,AU14 /0.98MM<=600MM CR SHEET TML,VCF1,1,63807,2023-01-31 00:00:00,NB,342,TISC04     TATA STEEL LTD,63807
4500420669,VCRCLM1142,AU14/0.98MM<=600MM CR COIL(RM) TML,VCR1,17,63807,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,1102584
4500420669,VCRSHN0704,AU14 /0.98MM<=600MM CR SHEET TML,VCF1,41,65097,2023-01-31 00:00:00,NB,342,TISC04     TATA STEEL LTD,2692997
4500420669,VCRCLM1199,IFAU12/0.98MM>600MM CR COIL,VCR1,20,65155,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,1336980
4500420669,VCRCLM1214,TATEIFAU58/0.90MM>600MM CR COIL,VCR1,161,65155,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,10554523
4500420669,VCRSHW1396,AU14/ 0.98MM>600MM CR SHEET TML,VCF1,39,64865,2023-01-31 00:00:00,NB,342,TISC04     TATA STEEL LTD,2580783
4500420669,VCRCLM1174,EIFAU12/2.00MM>600MM CR COIL,VCR1,17,66980,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,1179517
4500420669,VCRCLM1199,IFAU12/0.98MM>600MM CR COIL,VCR1,243,66980,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,16288196
4500420669,VCRCLM1226,DDQTATEIFTG04/1.46MM>600MM TML CR COIL,VCR1,45,65155,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,2940445
4500420669,VCRCLM1162,EDDAU09/0.78MM>600MM CR COIL,VCR1,21,65155,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,1413081
4500420669,VCRCLM1095,DQAU14/0.98MM>600MM CR COIL TML,VCR1,54,63074,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,3445101
4500420669,VCRSHN0704,AU14 /0.98MM<=600MM CR SHEET TML,VCR1,31,64865,2023-01-31 00:00:00,NB,342,TISC04     TATA STEEL LTD,2051096
4500420669,VCRCLM1164,DQAU14/3.00MM>600MM CR COIL,VCR1,23,63074,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,1506837
4500420669,VCRCLM1192,TATXDDAU22/1.720MM>600MM CR COIL,VCR1,18,63074,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,1174437
4500420669,VSTCLM4399,IS5986235/2.00MM>600MM HRPO COIL TML,VCR1,259,56810,2023-01-31 00:00:00,NB,343,TISC04     TATA STEEL LTD,14721459
4500420669,VCRCLM1212,TATEIFAU58/1.200MM>600MM CR COIL,VCR1,24,65155,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,1624314
4500420669,VCRCLM1220,TATEIFTG04/0.98MM>600MM TML CR COIL,VCR1,37,65155,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,2449828
4500420679,VCRCLM1189,AU43/1.20MM>600MM CR COIL,VCR1,10,67355,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,710258
4500420679,VCRCLM0711,TATXXDAU03/2.00MM>600MM CR COIL HITACHI,VCR1,17,65273,2023-01-31 00:00:00,NB,385,TISC04     TATA STEEL LTD,1157943
4500420679,VSTCLM4400,IS5986235/2.50MM>600MM HRPO COIL TML,VCR1,143,60984,2023-01-31 00:00:00,NB,343,TISC04     TATA STEEL LTD,8751204
4500420679,VSTCLM4402,IS5986235/3.15MM>600MM HRPO COIL TML,VCR1,71,60984,2023-01-31 00:00:00,NB,343,TISC04     TATA STEEL LTD,4377431
4500420679,VCRCLM1167,DQ AU03/1.60MM>600MM/CR COIL,VCR1,46,65273,2023-01-31 00:00:00,NB,341,TISC04     TATA STEEL LTD,3024098
4500420679,VSTCLM1447,THA038SRP4/2.50MM>600MM HITACHI HRSPO CO,VCR1,90,70500,2023-01-31 00:00:00,NB,384,TISC04     TATA STEEL LTD,6386242
